review_id,category,product,star_rating,review_text,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment,textblob_polarity,textblob_subjectivity,dominant_emotion
29,electronics,Smart Thermostat,4,"Saved money on heating bills. Easy app, slight fear of setup at first.",0.4201,0.306,0.156,0.537,Positive,0.1722,0.4444,fear
30,electronics,Drone Mini,5,Amazing aerial shots and stable flight. Delighted with every flight!,0.8622,0.578,0.0,0.422,Positive,0.7375,0.8,surprise
31,electronics,Router Wi-Fi 6,2,Frequent drops and confusing interface. Frustrated with connectivity.,-0.6486,0.0,0.469,0.531,Negative,-0.3,0.3,anger
32,electronics,Fitness Tracker Band,4,"Lightweight and accurate steps. Good value, comfortable strap.",0.8225,0.632,0.0,0.368,Positive,0.5,0.6778,neutral
33,electronics,External SSD 1TB,5,Blazing fast transfers! Ecstatic about backup speeds.,0.5562,0.374,0.0,0.626,Positive,0.25,0.6,joy
34,electronics,Action Camera,1,Footage was shaky and audio terrible. Worst purchase this year.,-0.8442,0.0,0.565,0.435,Negative,-0.7778,0.8333,anger
35,food,Organic Coffee Beans,5,Rich aroma and smooth taste every morning. Pure joy in a cup!,0.8268,0.435,0.0,0.565,Positive,0.4973,0.4875,joy
36,food,Protein Bar Variety,3,"Some flavors good, others chalky. Okay snack, nothing amazing.",0.1847,0.346,0.221,0.433,Positive,0.6,0.6667,surprise
37,food,Hot Sauce Gift Set,4,Spicy and flavorful! Surprised by the smoky chipotle one.,0.2942,0.215,0.0,0.785,Positive,0.1,0.9,surprise
38,food,Frozen Pizza Pack,2,Soggy crust and bland cheese. Disappointed with every slice.,-0.4767,0.0,0.279,0.721,Negative,-0.4583,0.7917,sadness
39,food,Dark Chocolate Box,5,Luxurious and delicious. Happy to gift these to friends.,0.9246,0.728,0.0,0.272,Positive,0.9,1.0,joy
40,food,Instant Ramen Bulk,4,Quick and tasty for late nights. Great comfort food.,0.765,0.485,0.0,0.515,Positive,0.2778,0.6167,neutral
41,food,Almond Butter Jar,3,Creamy but separates quickly. Neutral on repurchasing.,0.0,0.0,0.0,1.0,Neutral,0.3333,0.5,neutral
42,food,Green Tea Matcha,5,Vibrant color and calming ritual. Delighted with the quality.,0.8555,0.61,0.0,0.39,Positive,0.4333,0.5167,neutral
43,food,Beef Jerky Sampler,2,Too salty and tough. Angry about the small portions.,-0.5859,0.0,0.407,0.593,Negative,-0.3796,0.7444,anger
44,food,Granola Cereal,4,Crunchy clusters and real fruit. Enjoy breakfast again.,0.4939,0.314,0.0,0.686,Positive,0.3,0.4,joy
45,food,Olive Oil Extra Virgin,5,Fruity and fresh on salads. Thrilled with this kitchen staple.,0.6369,0.394,0.0,0.606,Positive,0.45,0.6,joy
46,food,Meal Kit Delivery,1,Arrived warm and ingredients wilted. Furious about wasted money.,-0.7184,0.128,0.466,0.405,Negative,0.2,0.3,anger
47,food,Sparkling Water Case,3,"Refreshing but plain. Fine for hydration, no excitement.",-0.3054,0.189,0.296,0.515,Negative,0.2341,0.619,neutral
48,food,Honey Raw Organic,5,Sweet and floral flavor. Joy spreading it on warm toast.,0.8271,0.554,0.0,0.446,Positive,0.5833,0.4833,joy
49,food,Vegan Cheese Block,2,Strange aftertaste and won't melt. Sad attempt at cheese.,0.1911,0.225,0.159,0.617,Positive,-0.275,0.575,sadness
50,food,Sourdough Bread Mix,5,Perfect crust and tangy flavor! Ecstatic home baker here.,0.807,0.51,0.0,0.49,Positive,1.0,1.0,joy
